epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91102,1.46112,2.06157,1.3995,0.90238,0.36863,0.70084,0.45904,1.19651,2.17353,1.21123,0.000655172,0.000655172,0.000655172
2,17.0394,1.1243,1.19029,1.12812,0.82741,0.77301,0.84923,0.50484,1.39884,1.31375,1.60558,0.00130875,0.00130875,0.00130875
3,25.2283,1.08118,1.06642,1.12966,0.86327,0.80266,0.90177,0.63575,1.10369,1.10507,1.25766,0.00194913,0.00194913,0.00194913
4,33.2423,1.07492,1.01879,1.13366,0.84334,0.85685,0.92177,0.67638,1.03063,0.96704,1.14864,0.0019406,0.0019406,0.0019406
5,41.2783,1.05444,0.92583,1.10094,0.92149,0.81612,0.90717,0.6494,1.12079,1.0767,1.27743,0.0019208,0.0019208,0.0019208
6,49.1142,1.01924,0.84103,1.0957,0.9071,0.85378,0.94445,0.72126,0.92995,0.7243,1.0948,0.001901,0.001901,0.001901
7,57.0749,1.00401,0.80979,1.0887,0.92505,0.90867,0.9574,0.69172,1.10776,0.72917,1.20632,0.0018812,0.0018812,0.0018812
8,64.9622,0.97154,0.77072,1.06969,0.9188,0.9274,0.97276,0.71114,1.02554,0.6614,1.13824,0.0018614,0.0018614,0.0018614
9,72.8134,0.99792,0.76675,1.07539,0.93621,0.91309,0.97545,0.72905,0.94889,0.64289,1.06355,0.0018416,0.0018416,0.0018416
10,80.6919,0.95036,0.73044,1.05158,0.90765,0.92945,0.96673,0.75254,0.86557,0.64824,1.0184,0.0018218,0.0018218,0.0018218
11,88.814,0.93743,0.70842,1.04445,0.92227,0.9182,0.96933,0.75395,0.86994,0.57465,1.03326,0.001802,0.001802,0.001802
12,96.9462,0.94987,0.68855,1.05432,0.94154,0.95513,0.97845,0.75491,0.86079,0.54793,1.01323,0.0017822,0.0017822,0.0017822
13,104.977,0.94239,0.6853,1.05082,0.91672,0.94543,0.97972,0.74639,0.91542,0.58603,1.06558,0.0017624,0.0017624,0.0017624
14,113.041,0.92486,0.66727,1.04475,0.91112,0.92945,0.96973,0.766,0.82397,0.55253,0.99837,0.0017426,0.0017426,0.0017426
15,121.138,0.89876,0.64326,1.02952,0.95903,0.93356,0.98351,0.77973,0.85948,0.53333,1.035,0.0017228,0.0017228,0.0017228
16,129.255,0.90626,0.65029,1.03372,0.96754,0.96421,0.98257,0.77467,0.83357,0.57528,1.02784,0.001703,0.001703,0.001703
17,137.26,0.87528,0.60771,1.02721,0.95296,0.95287,0.98605,0.77761,0.814,0.49122,0.9987,0.0016832,0.0016832,0.0016832
18,145.527,0.90246,0.63632,1.03603,0.94009,0.93252,0.97515,0.77263,0.80788,0.52119,1.0063,0.0016634,0.0016634,0.0016634
