epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0186,1.4969,2.09888,1.42151,0.78715,0.57566,0.73294,0.44012,1.24324,1.95752,1.32585,0.000655172,0.000655172,0.000655172
2,23.9087,1.14048,1.19807,1.14602,0.79011,0.83524,0.88138,0.59213,1.10776,1.32641,1.27853,0.00130875,0.00130875,0.00130875
3,31.7495,1.0892,1.07772,1.12797,0.88024,0.82413,0.91884,0.65511,1.07062,1.16476,1.26171,0.00194913,0.00194913,0.00194913
4,39.6978,1.08181,0.97769,1.12049,0.91517,0.88252,0.95557,0.67271,1.05825,1.009,1.16561,0.0019406,0.0019406,0.0019406
5,47.7606,1.05413,0.9292,1.11506,0.83591,0.86299,0.91963,0.68003,1.05723,0.88449,1.24381,0.0019208,0.0019208,0.0019208
6,55.8382,1.00871,0.83806,1.08676,0.91824,0.88037,0.94855,0.66603,1.17143,0.83828,1.23077,0.001901,0.001901,0.001901
7,63.6144,1.00534,0.81378,1.08264,0.88748,0.91616,0.96021,0.7176,1.00105,0.67831,1.11892,0.0018812,0.0018812,0.0018812
8,71.3706,0.99786,0.78157,1.08529,0.88482,0.93477,0.97018,0.75532,0.929,0.62618,1.11142,0.0018614,0.0018614,0.0018614
9,80.0817,0.95965,0.73611,1.05411,0.92591,0.92007,0.96988,0.73656,0.92126,0.66704,1.06801,0.0018416,0.0018416,0.0018416
10,87.9411,0.94553,0.70957,1.05143,0.92972,0.92127,0.96459,0.72624,0.93646,0.64414,1.07944,0.0018218,0.0018218,0.0018218
11,96.3037,0.95326,0.69343,1.06637,0.93485,0.88241,0.95521,0.73071,0.94843,0.69715,1.10869,0.001802,0.001802,0.001802
12,104.28,0.92927,0.67688,1.04745,0.94164,0.90491,0.96514,0.75031,0.90694,0.64662,1.07091,0.0017822,0.0017822,0.0017822
13,112.08,0.94797,0.68979,1.05216,0.93222,0.93865,0.9739,0.76445,0.86421,0.56261,1.03787,0.0017624,0.0017624,0.0017624
14,120.291,0.92496,0.66644,1.05422,0.9307,0.89877,0.96411,0.75384,0.87733,0.6234,1.04117,0.0017426,0.0017426,0.0017426
15,128.335,0.9093,0.65226,1.04167,0.92874,0.93149,0.97959,0.7768,0.83427,0.5291,1.01695,0.0017228,0.0017228,0.0017228
16,136.604,0.92615,0.64787,1.05472,0.93778,0.94888,0.98252,0.7605,0.91718,0.5454,1.0785,0.001703,0.001703,0.001703
17,144.3,0.90366,0.63752,1.04108,0.94105,0.9304,0.97496,0.74385,0.99404,0.54787,1.13445,0.0016832,0.0016832,0.0016832
18,152.297,0.8991,0.63394,1.04012,0.95862,0.94742,0.98536,0.75866,0.91558,0.52194,1.05934,0.0016634,0.0016634,0.0016634
