epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3274,1.8138,5.13344,1.25556,0.06485,0.84366,0.05233,0.0471,0.96282,inf,1.18291,0.00331313,0.00331313,0.00331313
2,49.5609,1.00618,4.88612,1.01025,0.02873,0.745,0.04847,0.04354,0.95196,inf,1.1389,0.00658066,0.00658066,0.00658066
3,75.0888,1.12992,3.15659,0.99262,0.03258,0.64419,0.02773,0.02502,0.7388,inf,1.14361,0.0097822,0.0097822,0.0097822
4,99.9378,0.95638,2.46893,0.97003,0.06385,0.69716,0.03171,0.02682,1.98478,inf,1.56035,0.009703,0.009703,0.009703
5,125.633,0.80843,2.34266,0.96089,0.10117,0.5288,0.03844,0.03313,1.15613,inf,1.28599,0.009604,0.009604,0.009604
6,150.321,0.74644,2.271,0.95706,0.11427,0.68833,0.04481,0.03949,0.79421,inf,1.18106,0.009505,0.009505,0.009505
7,175.227,0.70241,2.21497,0.95584,0.0692,0.62903,0.04205,0.03846,0.54857,inf,1.11691,0.009406,0.009406,0.009406
8,200.267,0.6642,2.15089,0.94775,0.09576,0.70168,0.06748,0.06321,0.53259,inf,1.09598,0.009307,0.009307,0.009307
9,225.257,0.63031,2.07834,0.94438,0.11366,0.77283,0.08837,0.07732,0.73997,inf,1.14812,0.009208,0.009208,0.009208
10,250.641,0.62316,2.02849,0.94322,0.02223,0.7982,0.03791,0.03348,0.669,inf,1.91981,0.009109,0.009109,0.009109
11,275.552,0.59742,1.98161,0.93867,0.11456,0.7192,0.13042,0.11993,0.57421,inf,1.09174,0.00901,0.00901,0.00901
12,300.642,0.57771,1.93022,0.9369,0.11023,0.76029,0.12424,0.10934,0.71725,inf,1.12745,0.008911,0.008911,0.008911
13,325.883,0.56997,1.89576,0.93622,0.09383,0.73896,0.09629,0.08659,0.6183,inf,1.18074,0.008812,0.008812,0.008812
14,350.706,0.55708,1.85162,0.93162,0.09881,0.74739,0.09311,0.08491,0.61867,inf,1.12603,0.008713,0.008713,0.008713
15,375.948,0.5412,1.82737,0.93138,0.12115,0.66214,0.12715,0.11851,0.66119,inf,1.11943,0.008614,0.008614,0.008614
16,400.823,0.53036,1.79138,0.93082,0.17712,0.77276,0.1988,0.17992,0.64759,20.6642,1.09858,0.008515,0.008515,0.008515
17,426.038,0.52279,1.76658,0.92987,0.25636,0.53234,0.25321,0.22577,0.75362,8.10273,1.13637,0.008416,0.008416,0.008416
18,451.339,0.51199,1.74722,0.92815,0.2138,0.47666,0.20858,0.18699,0.75512,7.29939,1.14421,0.008317,0.008317,0.008317
19,476.187,0.50628,1.73026,0.92753,0.38692,0.44759,0.39134,0.3596,0.67957,5.06483,1.12823,0.008218,0.008218,0.008218
