epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.6114,3.61197,0.08917,0.35798,3.28608,0.0033308,0.0033308,0.0033308
2,58.9329,3.36035,0.23276,0.62165,2.67683,0.00659816,0.00659816,0.00659816
3,84.9969,2.97761,0.38305,0.7567,2.0913,0.00979952,0.00979952,0.00979952
4,112.542,2.64324,0.57764,0.84473,1.5714,0.009703,0.009703,0.009703
5,142.66,2.37055,0.62735,0.88348,1.2233,0.009604,0.009604,0.009604
6,173.757,2.25544,0.60897,0.89516,1.33575,0.009505,0.009505,0.009505
7,204.826,2.14802,0.67336,0.92607,1.08565,0.009406,0.009406,0.009406
8,238.83,2.06119,0.66154,0.92949,1.10724,0.009307,0.009307,0.009307
9,270.409,2.00939,0.75356,0.92464,0.97462,0.009208,0.009208,0.009208
10,302.19,1.94453,0.74345,0.96168,0.85524,0.009109,0.009109,0.009109
11,334.426,1.93563,0.76439,0.96752,0.91386,0.00901,0.00901,0.00901
12,368.872,1.9002,0.75954,0.96496,0.82913,0.008911,0.008911,0.008911
13,403.073,1.88969,0.78433,0.94801,0.81565,0.008812,0.008812,0.008812
14,437.106,1.80777,0.83746,0.97849,0.6378,0.008713,0.008713,0.008713
15,468.729,1.78572,0.84074,0.97521,0.5894,0.008614,0.008614,0.008614
16,502.448,1.71045,0.84145,0.98077,0.53831,0.008515,0.008515,0.008515
17,531.244,1.69623,0.81083,0.97949,0.61524,0.008416,0.008416,0.008416
18,561.956,1.80366,0.77678,0.90769,0.7662,0.008317,0.008317,0.008317
19,593.747,1.73318,0.83775,0.97735,0.56934,0.008218,0.008218,0.008218
20,625.074,1.68464,0.84302,0.97977,0.53145,0.008119,0.008119,0.008119
21,655.71,1.61973,0.84103,0.97963,0.48836,0.00802,0.00802,0.00802
22,685.565,1.66218,0.83789,0.98262,0.50458,0.007921,0.007921,0.007921
23,716.445,1.64592,0.83575,0.9755,0.50281,0.007822,0.007822,0.007822
24,745.958,1.64198,0.85556,0.98234,0.45515,0.007723,0.007723,0.007723
25,779.214,1.60683,0.83718,0.98105,0.49717,0.007624,0.007624,0.007624
26,806.796,1.57968,0.85157,0.97208,0.45565,0.007525,0.007525,0.007525
27,837.141,1.6203,0.85798,0.98447,0.4238,0.007426,0.007426,0.007426
28,869.096,1.60221,0.81766,0.9812,0.46561,0.007327,0.007327,0.007327
29,899.3,1.59743,0.85741,0.98405,0.41096,0.007228,0.007228,0.007228
30,927.316,1.52602,0.86439,0.98063,0.44589,0.007129,0.007129,0.007129
31,955.665,1.52377,0.83832,0.97721,0.56383,0.00703,0.00703,0.00703
32,986.16,1.52257,0.8416,0.97094,0.60584,0.006931,0.006931,0.006931
33,1015.89,1.50031,0.8547,0.97963,0.42754,0.006832,0.006832,0.006832
34,1046.54,1.58359,0.88732,0.9849,0.34463,0.006733,0.006733,0.006733
35,1076.09,1.5147,0.85997,0.97835,0.4095,0.006634,0.006634,0.006634
36,1105.59,1.43049,0.87593,0.98276,0.38272,0.006535,0.006535,0.006535
37,1135.6,1.42231,0.86809,0.98276,0.35879,0.006436,0.006436,0.006436
38,1167.54,1.39068,0.88476,0.98519,0.32559,0.006337,0.006337,0.006337
39,1197.77,1.37475,0.88917,0.98504,0.3187,0.006238,0.006238,0.006238
40,1226.85,1.39707,0.88689,0.98447,0.31519,0.006139,0.006139,0.006139
41,1257.69,1.35924,0.88647,0.9849,0.31327,0.00604,0.00604,0.00604
42,1289.99,1.43981,0.8886,0.98533,0.31185,0.005941,0.005941,0.005941
43,1322.74,1.36691,0.88917,0.98547,0.30923,0.005842,0.005842,0.005842
44,1354.44,1.34918,0.88846,0.98561,0.30474,0.005743,0.005743,0.005743
45,1383.73,1.33762,0.89088,0.98618,0.30276,0.005644,0.005644,0.005644
46,1412.54,1.30483,0.89188,0.98604,0.30075,0.005545,0.005545,0.005545
47,1445.65,1.30902,0.88989,0.98618,0.29789,0.005446,0.005446,0.005446
48,1478.61,1.30365,0.89031,0.98618,0.29686,0.005347,0.005347,0.005347
49,1511.75,1.28338,0.89088,0.98661,0.29593,0.005248,0.005248,0.005248
50,1545.43,1.29032,0.89217,0.98661,0.29443,0.005149,0.005149,0.005149
51,1577.6,1.27763,0.89017,0.98675,0.29324,0.00505,0.00505,0.00505
52,1607.22,1.22512,0.89003,0.98689,0.29298,0.004951,0.004951,0.004951
53,1635.42,1.22892,0.89017,0.98675,0.29245,0.004852,0.004852,0.004852
54,1666.26,1.29158,0.89017,0.98675,0.29066,0.004753,0.004753,0.004753
55,1694.27,1.25367,0.89145,0.98704,0.28965,0.004654,0.004654,0.004654
56,1724.7,1.22115,0.89088,0.98689,0.28825,0.004555,0.004555,0.004555
57,1755.97,1.21592,0.89074,0.98718,0.28719,0.004456,0.004456,0.004456
58,1786.8,1.20028,0.89188,0.98704,0.28653,0.004357,0.004357,0.004357
59,1817.06,1.2203,0.89174,0.98689,0.28461,0.004258,0.004258,0.004258
60,1849.13,1.19081,0.89117,0.98689,0.28412,0.004159,0.004159,0.004159
61,1877.41,1.17224,0.89131,0.98704,0.28185,0.00406,0.00406,0.00406
