epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,594.528,3.06912,0.46111,0.80783,1.95421,0.0670251,0.00033308,0.00033308
2,653.129,2.25572,0.62692,0.89915,1.35212,0.0340185,0.000659816,0.000659816
3,675.302,1.90961,0.7312,0.94387,0.97656,0.00100526,0.000979952,0.000979952
4,696.734,1.72143,0.78219,0.96937,0.75216,0.0009703,0.0009703,0.0009703
5,718.365,1.59242,0.81966,0.97678,0.69554,0.0009604,0.0009604,0.0009604
6,739.659,1.50162,0.8349,0.97749,0.58832,0.0009505,0.0009505,0.0009505
7,760.988,1.42378,0.85684,0.98034,0.50892,0.0009406,0.0009406,0.0009406
8,782.125,1.37422,0.87094,0.98191,0.45811,0.0009307,0.0009307,0.0009307
9,803.524,1.34436,0.89345,0.98291,0.42015,0.0009208,0.0009208,0.0009208
10,825.145,1.27516,0.86952,0.98248,0.40749,0.0009109,0.0009109,0.0009109
11,846.203,1.2443,0.88105,0.98476,0.39003,0.000901,0.000901,0.000901
12,867.347,1.2186,0.8916,0.98519,0.35369,0.0008911,0.0008911,0.0008911
13,888.621,1.21505,0.89929,0.98561,0.35078,0.0008812,0.0008812,0.0008812
14,909.88,1.14425,0.88348,0.98575,0.33867,0.0008713,0.0008713,0.0008713
15,931.51,1.14758,0.89046,0.98433,0.33035,0.0008614,0.0008614,0.0008614
16,952.577,1.12216,0.90627,0.98447,0.31088,0.0008515,0.0008515,0.0008515
17,973.868,1.11055,0.92991,0.98618,0.29951,0.0008416,0.0008416,0.0008416
18,995.363,1.08834,0.91211,0.98704,0.28978,0.0008317,0.0008317,0.0008317
19,1016.34,1.07766,0.90712,0.98689,0.29481,0.0008218,0.0008218,0.0008218
20,1037.53,1.04945,0.93561,0.98647,0.27001,0.0008119,0.0008119,0.0008119
21,1058.87,1.03387,0.93006,0.98732,0.26901,0.000802,0.000802,0.000802
22,1080.42,1.0307,0.93177,0.98761,0.25923,0.0007921,0.0007921,0.0007921
23,1101.95,1.00022,0.92991,0.98789,0.26286,0.0007822,0.0007822,0.0007822
24,1123.28,1.0068,0.93775,0.98775,0.25154,0.0007723,0.0007723,0.0007723
25,1144.69,0.97634,0.9416,0.98803,0.23754,0.0007624,0.0007624,0.0007624
26,1166,0.98046,0.9463,0.98803,0.22278,0.0007525,0.0007525,0.0007525
27,1187.3,0.95941,0.95256,0.98775,0.22149,0.0007426,0.0007426,0.0007426
28,1208.69,0.95546,0.95157,0.9886,0.20171,0.0007327,0.0007327,0.0007327
29,1230.14,0.95496,0.94487,0.98875,0.21175,0.0007228,0.0007228,0.0007228
30,1251.08,0.93349,0.95128,0.98889,0.21427,0.0007129,0.0007129,0.0007129
31,1272.17,0.89102,0.95456,0.98832,0.19883,0.000703,0.000703,0.000703
32,1293.6,0.91536,0.95427,0.98818,0.19634,0.0006931,0.0006931,0.0006931
33,1314.67,0.90226,0.95613,0.98789,0.19242,0.0006832,0.0006832,0.0006832
34,1336.02,0.89265,0.95969,0.98832,0.18512,0.0006733,0.0006733,0.0006733
35,1357.36,0.87485,0.95783,0.98803,0.18671,0.0006634,0.0006634,0.0006634
36,1379.17,0.86069,0.96154,0.98789,0.17813,0.0006535,0.0006535,0.0006535
37,1400.68,0.86346,0.96268,0.98789,0.17422,0.0006436,0.0006436,0.0006436
38,1421.91,0.84312,0.96197,0.98775,0.1694,0.0006337,0.0006337,0.0006337
39,1443.85,0.82736,0.96125,0.98818,0.16783,0.0006238,0.0006238,0.0006238
40,1464.85,0.83463,0.96197,0.98818,0.16448,0.0006139,0.0006139,0.0006139
